subject_id,channel,segment,segment_start_min,segment_end_min,clean_epochs,clean_minutes,interpolated,aperiodic_exponent,aperiodic_offset,r_squared,fit_error,n_peaks_detected,fooof_freq_low_hz,fooof_freq_high_hz,input_file,original_duration_min,data_units_assumed,epoch_length_sec,epoch_overlap_sec,high_pass_hz,notch_freq_hz,fooof_freq_lo,fooof_freq_hi,aperiodic_mode,amplitude_threshold_uv,gradient_threshold_uv_per_ms,flat_threshold_uv,variance_zscore_threshold,muscle_zscore_threshold,muscle_hf_hz,ica_applied,reference,interpolation_method,montage,bad_channels,interpolated_channels,excluded_channels,exponent_flagged_channels,exponent_reject_threshold,high_offender_rejection,high_offender_share_threshold,high_offender_min_reject_pct,high_offender_action,high_offender_flagged_channels,n_channels_analyzed,aperiodic_exponent_sd,n_channels_averaged,n_interpolated_excluded
P001_S1_rest,F3,full,0.0,2.0333,122,2.0333,False,0.96455,-10.701106,0.989367,0.030812,4.0,1.0,40.0,/tmp/orgtest/data/P001_S001_rest.xdf,1.9999,uV,1.0,0.1,0.1,60.0,1,40,fixed,100.0,10.0,1.0,3.0,3.0,30.0,False,ear,average,standard_1020,C3,C3,,,0.5,False,,,,,7,,,
P001_S1_rest,F4,full,0.0,2.0333,122,2.0333,False,0.99722,-10.614595,0.984389,0.038803,1.0,1.0,40.0,/tmp/orgtest/data/P001_S001_rest.xdf,1.9999,uV,1.0,0.1,0.1,60.0,1,40,fixed,100.0,10.0,1.0,3.0,3.0,30.0,False,ear,average,standard_1020,C3,C3,,,0.5,False,,,,,7,,,
P001_S1_rest,C3,full,0.0,2.0333,122,2.0333,True,0.99452,-11.41831,0.984763,0.035636,1.0,1.0,40.0,/tmp/orgtest/data/P001_S001_rest.xdf,1.9999,uV,1.0,0.1,0.1,60.0,1,40,fixed,100.0,10.0,1.0,3.0,3.0,30.0,False,ear,average,standard_1020,C3,C3,,,0.5,False,,,,,7,,,
P001_S1_rest,C4,full,0.0,2.0333,122,2.0333,False,1.001003,-10.649052,0.991978,0.026412,4.0,1.0,40.0,/tmp/orgtest/data/P001_S001_rest.xdf,1.9999,uV,1.0,0.1,0.1,60.0,1,40,fixed,100.0,10.0,1.0,3.0,3.0,30.0,False,ear,average,standard_1020,C3,C3,,,0.5,False,,,,,7,,,
P001_S1_rest,Cz,full,0.0,2.0333,122,2.0333,False,0.943274,-10.729279,0.994496,0.02141,5.0,1.0,40.0,/tmp/orgtest/data/P001_S001_rest.xdf,1.9999,uV,1.0,0.1,0.1,60.0,1,40,fixed,100.0,10.0,1.0,3.0,3.0,30.0,False,ear,average,standard_1020,C3,C3,,,0.5,False,,,,,7,,,
P001_S1_rest,P3,full,0.0,2.0333,122,2.0333,False,0.949932,-10.683976,0.994601,0.023822,3.0,1.0,40.0,/tmp/orgtest/data/P001_S001_rest.xdf,1.9999,uV,1.0,0.1,0.1,60.0,1,40,fixed,100.0,10.0,1.0,3.0,3.0,30.0,False,ear,average,standard_1020,C3,C3,,,0.5,False,,,,,7,,,
P001_S1_rest,P4,full,0.0,2.0333,122,2.0333,False,0.992608,-10.667603,0.991813,0.028767,3.0,1.0,40.0,/tmp/orgtest/data/P001_S001_rest.xdf,1.9999,uV,1.0,0.1,0.1,60.0,1,40,fixed,100.0,10.0,1.0,3.0,3.0,30.0,False,ear,average,standard_1020,C3,C3,,,0.5,False,,,,,7,,,
P001_S1_rest,AVERAGE,full,0.0,2.0333,122,2.0333,False,0.974764,-10.674268,0.991107,,,,,/tmp/orgtest/data/P001_S001_rest.xdf,1.9999,uV,1.0,0.1,0.1,60.0,1,40,fixed,100.0,10.0,1.0,3.0,3.0,30.0,False,ear,average,standard_1020,C3,C3,,,0.5,False,,,,,7,0.02318,6.0,1.0
