clean_minutes,clean_epochs,exponent_all,exponent_odd,exponent_even,r2_all
1.0,60,0.989685,0.933905,0.954006,0.991923
1.5,90,0.989231,0.975989,0.963886,0.994234
2.0,120,1.002726,0.995486,1.004937,0.994316
2.0333,122,1.005237,0.996869,1.018836,0.994412
