condition,n_participants_complete,n_sessions,"ICC(2,1)",pearson_r,pearson_p,mean_abs_session_diff,note
movie,4,2,0.1949,0.1688,0.8312,0.0932,poor reliability
rest,4,2,0.7989,0.9124,0.0876,0.0751,good reliability
