region,n,mean,sd,median,iqr,min,max
frontal,24,1.3508,0.2718,1.3231,0.5074,0.8968,1.7644
central,24,1.35,0.2801,1.3197,0.502,0.917,1.7548
parietal,24,1.3457,0.2812,1.3005,0.4929,0.8867,1.7732
